nc_035417.1 dionaea muscipula chloroplast, complete genome
nc_041267.1 deeringia amaranthoides voucher 13cs7275 (kun) plastid, complete genome
nc_068873.1 coccoloba uvifera voucher zhj20-009 chloroplast, complete genome
nc_082439.1 cerastium alpinum chloroplast, complete genome
nc_082440.1 cerastium arcticum chloroplast, complete genome
nc_066897.1 cerastium glomeratum chloroplast, complete genome
nc_082441.1 cerastium nigrescens chloroplast, complete genome
nc_057191.1 caroxylon passerinum chloroplast, complete genome
nc_084116.1 caroxylon orientale chloroplast, complete genome
nc_084117.1 caroxylon nitrarium chloroplast, complete genome
nc_027618.1 carnegiea gigantea chloroplast, complete genome
nc_047478.1 boerhavia diffusa chloroplast, complete genome
nc_059818.1 belemia cordata chloroplast, complete genome
nc_041293.1 basella alba voucher 14cs9526 (kun) plastid, complete genome
nc_041301.1 barbeuia madagascariensis voucher razakamalala et al. 4305 (mo) plastid, complete genome
nc_040948.1 asteropeia rhopaloides voucher antilahimena 7953 (mo) plastid, complete genome
nc_041274.1 anredera cordifolia voucher 14cs8474 (kun) plastid, complete genome
nc_041258.1 ancistrocladus tectorius voucher 14cs8739 (kun) plastid, complete genome
nc_042798.1 alternanthera philoxeroides chloroplast, complete genome
nc_035416.1 aldrovanda vesiculosa voucher perth_08722560 chloroplast, complete genome
nc_023357.1 agrostemma githago chloroplast, complete genome
nc_041416.1 acleisanthes obtusa voucher m. j. moore et al. 984 (oc) chloroplast, complete genome
